ticker,asset_id,horizon,action,weight,usd_target,usd_target_effective,currency,fx_rate_used,fx_rate_source,lot_size,allow_fractional,broker_selected,current_qty,qty_target,delta_qty,order_side,order_type,time_in_force,order_qty,order_notional_usd,order_notional_ccy,min_notional_usd,order_status,cash_available_usd,cash_used_usd,price_used,price_source,expected_return_gross_pct,expected_return_net_pct,expected_return_net_usd,expected_return_source,fees_estimated_usd,fees_one_way,fees_round_trip,policy_id,policy_version,sizing_rule,constraints,reason,broker_costs,asof_date,execution_date,execution_hour
NVDA,NVDA,INTRADAY,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,BUY,MARKET,DAY,0.0,0.0,0.0,0.0,BLOCKED_MIN_NOTIONAL,,0.0,186.23,features.close,0.09469179999999999,0.0,0.0,proxy_score,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,"[""min_notional""]",model_score=0.973459 day=2026-04-21 | gross_pct=0.094692 | net_pct=0.054692 | threshold=0.008000,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1800
INTC,INTC,INTRADAY,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,BUY,MARKET,DAY,0.0,0.0,0.0,0.0,BLOCKED_MIN_NOTIONAL,,0.0,46.96,features.close,0.0788706,0.0,0.0,proxy_score,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,"[""min_notional""]",model_score=0.894353 day=2026-04-21 | gross_pct=0.078871 | net_pct=0.038871 | threshold=0.008000,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1800
META,META,INTRADAY,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,,MARKET,DAY,0.0,0.0,0.0,0.0,NO_ORDER,,0.0,620.25,features.close,0.07225140000000001,0.0,0.0,proxy_score,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,[],model_score=0.861257 day=2026-04-21 | gross_pct=0.072251 | net_pct=0.000000 | threshold=0.008000 | net<threshold,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1800
JPM,JPM,INTRADAY,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,,MARKET,DAY,0.0,0.0,0.0,0.0,NO_ORDER,,0.0,312.47,features.close,0.067495,0.0,0.0,proxy_score,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,[],model_score=0.837475 day=2026-04-21 | gross_pct=0.067495 | net_pct=0.000000 | threshold=0.008000 | net<threshold,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1800
MA,MA,INTRADAY,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,,MARKET,DAY,0.0,0.0,0.0,0.0,NO_ORDER,,0.0,539.49,features.close,0.0673824,0.0,0.0,proxy_score,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,[],model_score=0.836912 day=2026-04-21 | gross_pct=0.067382 | net_pct=0.000000 | threshold=0.008000 | net<threshold,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1800
NVDA,NVDA,LONG_TERM,BUY,0.17066894939264876,85.33447469632438,85.33447469632438,USD,1.0,native_usd,1,True,generic_us,0.0,0.4582208811487106,0.4582208811487106,BUY,MARKET,DAY,0.4582208811487106,85.33447469632438,85.33447469632438,50.0,CLIPPED_CASH,100.0,86.33447469632438,186.23,features.close,0.16571065,0.1422734634805153,12.140831269336465,proxy_score,2.0,1.0,2.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,"[""max_turnover_long_term""]",model_score=0.973459 day=2026-04-21 | fallback_long_term_from_intraday=true | gross_pct=0.165711 | net_pct=0.142273 | threshold=0.050000,"{""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0}}",2026-04-21,2026-04-22,1800
INTC,INTC,LONG_TERM,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,BUY,MARKET,DAY,0.0,0.0,0.0,0.0,BLOCKED_CASH,,0.0,46.96,features.close,0.13802354999999997,0.0,0.0,proxy_score,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,"[""cash_insufficient""]",model_score=0.894353 day=2026-04-21 | fallback_long_term_from_intraday=true | gross_pct=0.138024 | net_pct=0.106537 | threshold=0.050000,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1800
META,META,LONG_TERM,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,BUY,MARKET,DAY,0.0,0.0,0.0,0.0,BLOCKED_CASH,,0.0,620.25,features.close,0.12643995000000002,0.0,0.0,proxy_score,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,"[""cash_insufficient""]",model_score=0.861257 day=2026-04-21 | fallback_long_term_from_intraday=true | gross_pct=0.126440 | net_pct=0.094703 | threshold=0.050000,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1800
JPM,JPM,LONG_TERM,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,BUY,MARKET,DAY,0.0,0.0,0.0,0.0,BLOCKED_CASH,,0.0,312.47,features.close,0.11811624999999998,0.0,0.0,proxy_score,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,"[""cash_insufficient""]",model_score=0.837475 day=2026-04-21 | fallback_long_term_from_intraday=true | gross_pct=0.118116 | net_pct=0.086198 | threshold=0.050000,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1800
MA,MA,LONG_TERM,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,BUY,MARKET,DAY,0.0,0.0,0.0,0.0,BLOCKED_CASH,,0.0,539.49,features.close,0.11791919999999999,0.0,0.0,proxy_score,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,"[""cash_insufficient""]",model_score=0.836912 day=2026-04-21 | fallback_long_term_from_intraday=true | gross_pct=0.117919 | net_pct=0.085996 | threshold=0.050000,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1800
